Date,App_Name,Active_Users,Avg_Session_Duration,Feature_Click_Event,Drop_off_Rate,,,,
3/17/2026,zarkon rentals,1377,86.2,Add_Ticket,0.24,,,,
3/12/2026,Garage Mgmt,1401,293.8,Financial_Tab_View,0.65,,,,
3/13/2026,Garage Platform,458,88.2,Financial_Tab_View,0.35,,,,
3/26/2026,Garage_App,154,59.2,Add_Ticket,0.36,,,,
4/10/2026,Zarkon Rental,1315,135.5,Financial_Tab_View,0.35,,,,
3/13/2026,Garage_App,1286,273.3,Financial_Tab_View,0.19,,,,
4/5/2026,GarageOps,845,227.5,Financial_Tab_View,0.7,,,,
3/16/2026,Zarkon_App,935,191.6,View_Dashboard,0.5,,,,
4/18/2026,Zarkon_App,86,219.4,Add_Ticket,0.8,,,,
4/10/2026,ZarkonApp,332,170.4,Add_Ticket,0.46,,,,
4/9/2026,Garage Platform,872,115.8,View_Dashboard,0.58,,,,
3/29/2026,zarkon rentals,1048,164.2,Payment_Submit,0.67,,,,
4/2/2026,Garage Mgmt,607,132.5,View_Dashboard,0.67,,,,
3/15/2026,Garage Mgmt,120,237.4,Payment_Submit,0.41,,,,
4/17/2026,Garage_App,985,75,View_Dashboard,0.37,,,,
3/22/2026,Garage Mgmt,964,151.5,Payment_Submit,0.2,,,,
4/7/2026,Zarkon_App,1112,58.8,Payment_Submit,0.64,,,,
3/17/2026,Zarkon Rental,1268,41.7,View_Dashboard,0.54,,,,
3/18/2026,Garage Platform,688,92.8,View_Dashboard,0.22,,,,
4/18/2026,zarkon rentals,540,73.5,View_Dashboard,0.45,,,,
3/30/2026,Zarkon Rental,1250,241.1,Payment_Submit,0.5,,,,
3/17/2026,Zarkon_App,965,73.3,Financial_Tab_View,0.71,,,,
3/16/2026,ZarkonApp,1242,211.5,View_Dashboard,0.16,,,,
3/14/2026,ZarkonApp,736,165.8,Add_Ticket,0.21,,,,
4/7/2026,GarageOps,391,127.5,Add_Ticket,0.47,,,,
4/11/2026,GarageOps,1042,46.7,Payment_Submit,0.13,,,,
3/27/2026,GarageOps,821,142.6,Add_Ticket,0.37,,,,
3/26/2026,Garage Platform,949,183.5,Add_Ticket,0.11,,,,
3/11/2026,zarkon rentals,622,61.8,Payment_Submit,0.28,,,,
4/7/2026,Garage_App,599,275.6,Financial_Tab_View,0.21,,,,
3/19/2026,zarkon rentals,747,59.9,Add_Ticket,0.3,,,,
4/21/2026,Garage Platform,894,254.3,Payment_Submit,0.64,,,,
3/22/2026,Garage Platform,758,241.5,Payment_Submit,0.34,,,,
