Job_ID,Mechanic_ID,Service_Type,Revenue,Time_Logged,Parts_Cost,Status
JOB-00001,MCH-013,Transmission Check,312.78,10/4/2026,199.78,Completed
JOB-00002,MCH-027,Transmission Check,437.69,23/03/2026,476.34,Completed
JOB-00003,MCH-038,Full Service,113.41,29/03/2026,371.36,Completed
JOB-00004,MCH-033,Oil Change,1149.44,3/25/2026,,In Progress
JOB-00005,MCH-006,Oil Change,636.27,15/03/2026,94.89,Pending Parts
JOB-00006,MCH-013,Brake Pad Replacement,892.89,4/20/2026,94.88,Pending Parts
JOB-00007,MCH-013,Transmission Check,640.28,30/03/2026,47.88,Completed
JOB-00008,MCH-013,Brake Pad Replacement,935.73,22/03/2026,435.76,Completed
JOB-00009,MCH-020,Full Service,664.2,4/9/2026,308.54,Completed
JOB-00010,MCH-036,Brake Pad Replacement,856.78,4/21/2026,359.87,Completed
JOB-00011,MCH-037,Brake Pad Replacement,837.52,7/4/2026,,Completed
JOB-00012,MCH-045,Brake Pad Replacement,663.6,4/10/2026,485.56,Completed
JOB-00013,MCH-009,Full Service,315.18,11/3/2026,419.57,Completed
JOB-00014,MCH-017,Full Service,293.62,3/27/2026,121.92,Completed
JOB-00015,MCH-035,Brake Pad Replacement,1055.45,23/03/2026,107.28,Completed
JOB-00016,MCH-018,Transmission Check,188.79,6/4/2026,108.03,Completed
JOB-00017,MCH-025,Full Service,693.13,4/3/2026,166.04,Completed
JOB-00018,MCH-015,Oil Change,627.92,10/4/2026,271.88,Completed
JOB-00019,MCH-023,Brake Pad Replacement,968.16,31/03/2026,227.33,Completed
JOB-00020,MCH-001,Transmission Check,205.7,6/4/2026,159.79,Pending Parts
JOB-00021,MCH-041,Full Service,840.39,16/03/2026,313.69,Pending Parts
JOB-00022,MCH-038,Brake Pad Replacement,746.73,3/23/2026,86.96,In Progress
JOB-00023,MCH-018,Transmission Check,856.38,20/04/2026,,Completed
JOB-00024,MCH-001,Oil Change,764.41,31/03/2026,195.85,Completed
JOB-00025,MCH-039,Full Service,696.93,28/03/2026,,Completed
JOB-00026,MCH-010,Full Service,1115.21,14/03/2026,396.88,Completed
JOB-00027,MCH-031,Oil Change,450.96,4/6/2026,115.84,Completed
JOB-00028,MCH-038,Full Service,262.39,4/10/2026,266.83,Pending Parts
JOB-00029,MCH-007,Transmission Check,964.72,31/03/2026,304.36,Completed
JOB-00030,MCH-038,Full Service,199.15,17/03/2026,42.3,Completed
JOB-04223,MCH-008,Brake Pad Replacement,831.68,4/6/2026,311.62,Completed
JOB-00032,MCH-034,Oil Change,681.99,4/16/2026,101.85,Completed
JOB-11467,MCH-009,Brake Pad Replacement,51.48,3/26/2026,,Pending Parts
JOB-00034,MCH-025,Full Service,325.84,3/21/2026,475.47,Completed
JOB-00035,MCH-027,Brake Pad Replacement,620.29,3/16/2026,483.5,Pending Parts
JOB-00036,MCH-041,Transmission Check,429.17,29/03/2026,408.03,Completed
JOB-00037,MCH-007,Brake Pad Replacement,540.93,4/1/2026,166.21,Pending Parts
JOB-00038,MCH-032,Transmission Check,741.46,3/19/2026,66.88,Completed
JOB-00039,MCH-009,Transmission Check,890.45,3/30/2026,348.43,Completed
JOB-00040,MCH-017,Transmission Check,223.89,3/14/2026,231.27,Pending Parts
JOB-00041,MCH-035,Oil Change,375.35,13/04/2026,78.58,Pending Parts
JOB-00042,MCH-048,Brake Pad Replacement,781.96,5/4/2026,,Completed
JOB-00043,MCH-016,Transmission Check,726.71,28/03/2026,36.51,Completed
JOB-00044,MCH-002,Transmission Check,897.38,27/03/2026,456.47,Completed
JOB-00045,MCH-043,Brake Pad Replacement,786.59,21/04/2026,144.21,Completed
JOB-00046,MCH-031,Full Service,429.67,6/4/2026,338.01,Completed
JOB-00047,MCH-016,Oil Change,624.12,11/4/2026,,Completed
JOB-00048,MCH-047,Transmission Check,1067.45,3/13/2026,269.63,Completed
JOB-00049,MCH-033,Full Service,264,3/24/2026,282.42,Completed
JOB-00050,MCH-021,Full Service,483.26,3/22/2026,108.73,Pending Parts
JOB-00051,MCH-017,Full Service,1017.99,3/19/2026,485.4,Completed
JOB-00052,MCH-035,Transmission Check,468.82,4/5/2026,392.06,Completed
JOB-00053,MCH-007,Transmission Check,524.06,3/4/2026,,Completed
JOB-00054,MCH-029,Transmission Check,417.11,4/14/2026,449.52,Completed
JOB-00055,MCH-011,Brake Pad Replacement,1084.45,4/22/2026,306.99,Completed
JOB-00056,MCH-030,Transmission Check,812.84,14/03/2026,462.5,Completed
JOB-00057,MCH-018,Oil Change,290.1,24/03/2026,,In Progress
JOB-00058,MCH-046,Brake Pad Replacement,912.08,3/29/2026,114.07,Pending Parts
JOB-00059,MCH-016,Oil Change,94.29,3/22/2026,41.71,Pending Parts
JOB-00060,MCH-006,Full Service,505.87,7/4/2026,176.16,Completed
JOB-00061,MCH-002,Brake Pad Replacement,1096.24,3/29/2026,,Completed
JOB-00062,MCH-043,Brake Pad Replacement,843.25,3/11/2026,150.25,In Progress
JOB-00063,MCH-043,Brake Pad Replacement,962.06,13/03/2026,,Completed
JOB-00064,MCH-010,Oil Change,1121.01,3/22/2026,191.24,Completed
JOB-00065,MCH-004,Oil Change,940.73,5/4/2026,,Completed
JOB-00066,MCH-049,Full Service,151.87,4/4/2026,280.49,Completed
JOB-00067,MCH-010,Transmission Check,315.24,8/4/2026,,Completed
JOB-00068,MCH-009,Oil Change,624.99,3/18/2026,405.05,Completed
JOB-00069,MCH-045,Full Service,65.94,4/8/2026,,Completed
JOB-00070,MCH-043,Transmission Check,768.29,4/22/2026,493.71,Completed
JOB-00071,MCH-042,Brake Pad Replacement,805.83,4/11/2026,390.68,In Progress
JOB-00072,MCH-024,Transmission Check,850.92,27/03/2026,115.38,Completed
JOB-00073,MCH-005,Oil Change,689.08,21/04/2026,22.65,Completed
JOB-00074,MCH-035,Full Service,570.24,4/19/2026,,Completed
JOB-00075,MCH-004,Brake Pad Replacement,1033.88,9/4/2026,359.29,Completed
JOB-00076,MCH-035,Brake Pad Replacement,932.43,3/20/2026,369.92,Pending Parts
JOB-00077,MCH-042,Transmission Check,754.21,10/4/2026,,Completed
JOB-00078,MCH-013,Transmission Check,102.92,20/04/2026,55.54,Completed
JOB-00079,MCH-037,Oil Change,848.02,12/4/2026,,Completed
JOB-00080,MCH-032,Brake Pad Replacement,691.89,13/04/2026,75.62,Completed
JOB-00081,MCH-045,Transmission Check,847.51,11/4/2026,434.29,In Progress
JOB-00082,MCH-001,Brake Pad Replacement,408.12,2/4/2026,319.18,Completed
JOB-00083,MCH-011,Full Service,943.53,12/3/2026,178.83,Completed
JOB-00084,MCH-026,Full Service,530.63,3/20/2026,,In Progress
JOB-00085,MCH-003,Oil Change,1078.64,4/18/2026,169.27,Completed
JOB-00086,MCH-049,Brake Pad Replacement,169.61,3/28/2026,,Completed
JOB-00087,MCH-013,Transmission Check,607.23,25/03/2026,370.21,Pending Parts
JOB-00088,MCH-032,Full Service,286.6,4/12/2026,,Completed
JOB-00089,MCH-048,Full Service,571.49,3/27/2026,445.86,Completed
JOB-00090,MCH-023,Oil Change,456.83,3/13/2026,246.66,Completed
JOB-00091,MCH-023,Full Service,973.95,3/27/2026,77.41,Completed
JOB-00092,MCH-030,Oil Change,242.24,4/16/2026,362.36,Completed
JOB-00093,MCH-006,Brake Pad Replacement,738.53,3/30/2026,385.18,Completed
JOB-00094,MCH-007,Transmission Check,517.46,8/4/2026,289.41,Completed
JOB-00095,MCH-047,Brake Pad Replacement,645.79,23/03/2026,390.06,Pending Parts
JOB-00096,MCH-030,Brake Pad Replacement,871.56,3/16/2026,257.02,Completed
JOB-00097,MCH-037,Brake Pad Replacement,460.67,20/03/2026,270.91,Completed
JOB-00098,MCH-048,Transmission Check,472.11,3/31/2026,225.22,Completed
JOB-00099,MCH-032,Brake Pad Replacement,138.32,22/04/2026,32.2,Completed
JOB-00100,MCH-006,Brake Pad Replacement,684.74,26/03/2026,,Completed
JOB-00101,MCH-035,Oil Change,529.44,3/15/2026,35.09,Pending Parts
JOB-00102,MCH-032,Oil Change,984.13,20/03/2026,,Completed
JOB-00103,MCH-012,Oil Change,555.15,3/25/2026,170.89,Completed
JOB-00104,MCH-004,Transmission Check,1166.42,7/4/2026,264.11,Completed
JOB-00105,MCH-032,Full Service,247.55,28/03/2026,455.63,Completed
JOB-00106,MCH-035,Full Service,357.12,19/04/2026,139.66,Completed
JOB-00107,MCH-048,Brake Pad Replacement,500.7,4/7/2026,,Completed
JOB-00108,MCH-016,Full Service,245.98,13/04/2026,382.66,Completed
JOB-00109,MCH-015,Brake Pad Replacement,1168.16,27/03/2026,129.82,Completed
JOB-00110,MCH-041,Oil Change,787.1,21/04/2026,,Completed
JOB-00111,MCH-002,Brake Pad Replacement,62.88,9/4/2026,159.08,Completed
JOB-00112,MCH-006,Transmission Check,715.29,4/16/2026,97.39,Completed
JOB-00113,MCH-014,Full Service,948.44,4/10/2026,466.25,Completed
JOB-00114,MCH-041,Brake Pad Replacement,109,4/19/2026,,Completed
JOB-00115,MCH-029,Oil Change,714.61,3/15/2026,324.03,Pending Parts
JOB-00116,MCH-042,Transmission Check,480.46,9/4/2026,438.3,Pending Parts
JOB-00117,MCH-026,Brake Pad Replacement,718.7,13/03/2026,405.76,Completed
